backend,method,case,n_regions,n_samples,ipp,trial,time_s,peak_MB
polars_bio,no_xprod,medium,500,50,500,18,0.013993583153933287,2.730885
polars_bio,no_xprod,medium,500,50,500,19,0.013915250077843666,2.640224
polars_bio,per_sample_loop,large,2000,200,500,0,0.41888179164379835,1.917554
polars_bio,per_sample_loop,large,2000,200,500,1,0.4375139158219099,1.911925
polars_bio,per_sample_loop,large,2000,200,500,2,0.41394683299586177,1.910935
polars_bio,per_sample_loop,large,2000,200,500,3,0.43346079159528017,1.906958
polars_bio,per_sample_loop,large,2000,200,500,4,0.43085425021126866,1.907221
polars_bio,per_sample_loop,large,2000,200,500,5,0.43211354222148657,1.908466
polars_bio,per_sample_loop,large,2000,200,500,6,0.41594829224050045,1.909815
polars_bio,per_sample_loop,large,2000,200,500,7,0.41989287501201034,1.917402
polars_bio,per_sample_loop,large,2000,200,500,8,0.42107229121029377,1.910443
polars_bio,per_sample_loop,large,2000,200,500,9,0.4147139168344438,1.918846
polars_bio,per_sample_loop,large,2000,200,500,10,0.4316184166818857,1.906788
polars_bio,per_sample_loop,large,2000,200,500,11,0.4180928752757609,1.914694
polars_bio,per_sample_loop,large,2000,200,500,12,0.4241848341189325,1.914413
polars_bio,per_sample_loop,large,2000,200,500,13,0.4202542081475258,1.911349
polars_bio,per_sample_loop,large,2000,200,500,14,0.43674787506461143,1.915526
polars_bio,per_sample_loop,large,2000,200,500,15,0.4197448752820492,1.90759
polars_bio,per_sample_loop,large,2000,200,500,16,0.4453872498124838,1.907549
polars_bio,per_sample_loop,large,2000,200,500,17,0.4127756250090897,1.9151
polars_bio,per_sample_loop,large,2000,200,500,18,0.43498295824974775,1.904391
polars_bio,per_sample_loop,large,2000,200,500,19,0.4222338330000639,1.905154
polars_bio,lazy_filter,large,2000,200,500,0,1.8482994590885937,53.228693
polars_bio,lazy_filter,large,2000,200,500,1,1.8913719169795513,53.313408
polars_bio,lazy_filter,large,2000,200,500,2,1.8483099578879774,52.503845
polars_bio,lazy_filter,large,2000,200,500,3,1.843076666817069,53.203612
polars_bio,lazy_filter,large,2000,200,500,4,1.84679333306849,52.932078
polars_bio,lazy_filter,large,2000,200,500,5,1.812851957976818,53.061694
polars_bio,lazy_filter,large,2000,200,500,6,1.8338028327561915,53.611473
polars_bio,lazy_filter,large,2000,200,500,7,1.8408831669948995,53.124305
polars_bio,lazy_filter,large,2000,200,500,8,1.8330474998801947,53.549828
polars_bio,lazy_filter,large,2000,200,500,9,1.826568332966417,53.176263
polars_bio,lazy_filter,large,2000,200,500,10,1.8381083752028644,53.116702
polars_bio,lazy_filter,large,2000,200,500,11,1.841070749796927,53.949619
polars_bio,lazy_filter,large,2000,200,500,12,1.8272245828993618,52.971095
polars_bio,lazy_filter,large,2000,200,500,13,1.8871579999104142,53.559676
polars_bio,lazy_filter,large,2000,200,500,14,1.8634354998357594,53.758262
polars_bio,lazy_filter,large,2000,200,500,15,1.8266533752903342,53.119695
polars_bio,lazy_filter,large,2000,200,500,16,1.896319624967873,53.355163
polars_bio,lazy_filter,large,2000,200,500,17,1.8814325840212405,53.980653
polars_bio,lazy_filter,large,2000,200,500,18,1.8560009999200702,52.485432
polars_bio,lazy_filter,large,2000,200,500,19,1.9832125417888165,52.616104
polars_bio,no_xprod,large,2000,200,500,0,0.17295162472873926,43.643719
polars_bio,no_xprod,large,2000,200,500,1,0.17457866668701172,43.731252
polars_bio,no_xprod,large,2000,200,500,2,0.16911995876580477,42.923051
polars_bio,no_xprod,large,2000,200,500,3,0.17322145774960518,43.622716
polars_bio,no_xprod,large,2000,200,500,4,0.17165062483400106,43.352859
polars_bio,no_xprod,large,2000,200,500,5,0.16996733332052827,43.482065
polars_bio,no_xprod,large,2000,200,500,6,0.17299541691318154,44.032643
polars_bio,no_xprod,large,2000,200,500,7,0.17060662526637316,43.543679
polars_bio,no_xprod,large,2000,200,500,8,0.17291995882987976,43.968334
polars_bio,no_xprod,large,2000,200,500,9,0.179579125251621,43.598159
polars_bio,no_xprod,large,2000,200,500,10,0.17399604199454188,43.534729
polars_bio,no_xprod,large,2000,200,500,11,0.17865570820868015,44.367071
polars_bio,no_xprod,large,2000,200,500,12,0.17060812516137958,43.386195
polars_bio,no_xprod,large,2000,200,500,13,0.17299958318471909,43.981187
polars_bio,no_xprod,large,2000,200,500,14,0.17292408319190145,44.176416
polars_bio,no_xprod,large,2000,200,500,15,0.17345812497660518,43.538524
polars_bio,no_xprod,large,2000,200,500,16,0.17317554214969277,43.771362
polars_bio,no_xprod,large,2000,200,500,17,0.17439129203557968,44.395506
polars_bio,no_xprod,large,2000,200,500,18,0.16867779195308685,42.904531
polars_bio,no_xprod,large,2000,200,500,19,0.17164308298379183,43.034197
