mode,with_seqs,threads,region_length,batch_size,buffer_bytes,n_epochs,instances,bytes,wall_s,instances_per_s,MiB_per_s,peak_rss_MiB,timed_out,git_sha,host,started_at,cpu_brand,cpu_microarch,logical_cpus
buffered,annotated,1,1000,128,536870912,119,59500,1071062118,1.5121505428105593,39347.93416097997,675.4912320527109,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
buffered,annotated,1,10000,16,67108864,16,8000,1439796096,1.6008767490275204,4997.261659812184,857.7153478250578,400.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
buffered,annotated,1,10000,16,536870912,15,7500,1349808840,1.5087304587941617,4971.066870350257,853.2193509203479,32.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
buffered,annotated,1,10000,128,67108864,23,11500,2069706888,1.5374008321668953,7480.157262430568,1283.872273434827,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
buffered,annotated,1,10000,128,536870912,24,12000,2159694144,1.5591992078116164,7696.258399747629,1320.963239403229,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
double_buffered,annotated,1,1000,16,67108864,56,28000,504029232,1.5067005034070462,18583.653444519754,319.0280564647213,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
double_buffered,annotated,1,1000,16,536870912,58,29000,522030276,1.5147211311850697,19145.43832719315,328.67229244908367,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
double_buffered,annotated,1,1000,128,67108864,101,50500,909052722,1.5119866685708985,33399.76538796579,573.3782256493084,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
double_buffered,annotated,1,1000,128,536870912,96,48000,864050112,1.503395289881155,31927.73073261022,548.1076104525268,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
double_buffered,annotated,1,10000,16,67108864,13,6500,1169834328,1.5503433761186898,4192.619583587255,719.6089397027582,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
double_buffered,annotated,1,10000,16,536870912,12,6000,1079847072,1.5037265419960022,3990.0871816997906,684.846871723056,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
double_buffered,annotated,1,10000,128,67108864,18,9000,1619770608,1.5868230442283675,5671.709919221948,973.4756707358641,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
double_buffered,annotated,1,10000,128,536870912,20,10000,1799745120,1.5408264150610194,6490.023731585613,1113.9286555867575,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
,annotated,1,1000,16,,13,6500,117006786,1.588624957948923,4091.58874627789,70.24084954419435,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
,annotated,1,1000,128,,63,31500,567032886,1.5022465887013823,20968.594794567107,359.9706626083121,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
,annotated,1,10000,16,,8,4000,719898048,1.527623833855614,2618.445661393148,449.4223404958239,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
,annotated,1,10000,128,,18,9000,1619770608,1.5475203366950154,5815.755558483311,998.1992421620572,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
buffered,variants,1,1000,16,67108864,306,153000,5952924,1.5037039134185761,101748.75428245986,3.775444537755917,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
buffered,variants,1,1000,16,536870912,296,148000,5758384,1.5025014647981152,98502.39980956433,3.6549867360978405,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
buffered,variants,1,1000,128,67108864,541,270500,10524614,1.502236373256892,180064.87182409794,6.681407959873202,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
buffered,variants,1,1000,128,536870912,546,273000,10621884,1.5026247495552525,181682.0866825218,6.741415623324927,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
buffered,variants,1,10000,16,67108864,275,137500,37663175,1.5056467899121344,91322.87925777343,23.855796002401114,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
buffered,variants,1,10000,16,536870912,279,139500,38211003,1.5005765956593677,92964.26480562451,24.284566526382285,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
buffered,variants,1,10000,128,67108864,485,242500,66424145,1.5021031664218754,161440.30944136385,42.17220394165204,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
buffered,variants,1,10000,128,536870912,471,235500,64506747,1.500484015676193,156949.35603420736,40.999055775407676,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
double_buffered,variants,1,1000,16,67108864,232,116000,4513328,1.503156952909194,77170.91670001249,2.863470103229605,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
double_buffered,variants,1,1000,16,536870912,231,115500,4493874,1.5012143272906542,76937.71495536609,2.854817021830925,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
double_buffered,variants,1,1000,128,67108864,327,163500,6361458,1.50449700653553,108674.1942920169,4.032416869653504,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
double_buffered,variants,1,1000,128,536870912,327,163500,6361458,1.5029122048290446,108788.78984058688,4.0366690016913935,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
